TXNAME	GENEID
"G598;G598.1(-)"	G598
"G598;G598.2(-)"	G598
"G599;G599.1(+)"	G599
"G600;G600.1(+)"	G600
"G601;G601.1(+)"	G601
"G602;G602.1(+)"	G602
"G603;G603.1(+)"	G603
"G604;G604.1(+)"	G604
"G605;G605.1(-)"	G605
"G606;G606.1(+)"	G606
"G607;G607.1(-)"	G607
"G608;G608.1(-)"	G608
"G609;G609.1(-)"	G609
"G610;G610.1(+)"	G610
"G610;G610.2(+)"	G610
"G611;G611.1(-)"	G611
"G612;G612.1(-)"	G612
"G613;G613.1(-)"	G613
"G614;G614.1(+)"	G614
"G615;G615.1(+)"	G615
"G616;G616.1(-)"	G616
"G617;G617.1(+)"	G617
"G618;G618.1(+)"	G618
"G618;G618.2(+)"	G618
"G618;G618.3(+)"	G618
"G619;G619.1(-)"	G619
"G620;G620.1(+)"	G620
"G621;G621.1(-)"	G621
"G622;G622.1(-)"	G622
"G623;G623.1(-)"	G623
"G623;G623.2(-)"	G623
"G624;G624.1(-)"	G624
"G625;G625.1(-)"	G625
"G626;G626.1(+)"	G626
"G627;G627.1(-)"	G627
"G628;G628.1(+)"	G628
"G629;G629.1(-)"	G629
"G630;G630.1(+)"	G630
"G630;G630.2(+)"	G630
"G630;G630.3(+)"	G630
"G630;G630.4(+)"	G630
"G631;G631.1(-)"	G631
"G632;G632.1(-)"	G632
"G632;G632.2(-)"	G632
"G633;G633.1(-)"	G633
"G634;G634.1(-)"	G634
"G635;G635.1(+)"	G635
"G636;G636.1(+)"	G636
