rownames.upSet_df_N22.
"B568;B568.2"
"B569;B569.1"
"B570;B570.1"
"B571;B571.1"
"B572;B572.1"
"B573;B573.1"
"B574;B574.1"
"B575;B575.1"
"B575;B575.2"
"B576;B576.1"
"B577;B577.1"
"B578;B578.1"
"B579;B579.3"
"B579;B579.2"
"B579;B579.1"
"B580;B580.1"
"B581;B581.1"
"B582;B582.1"
"B583;B583.1"
"B584;B584.1"
"B9934;B9934.1"
"B10052;B10052.1"
"B10052;B10052.2"
"B585;B585.1"
"B586;B586.1"
"B587;B587.1"
"B588;B588.2"
"B588;B588.1"
"B589;B589.1"
"B590;B590.1"
"B590;B590.2"
"B591;B591.1"
"B592;B592.1"
"B593;B593.1"
"B594;B594.1"
"B595;B595.1"
"B596;B596.1"
"B597;B597.1"
"B597;B597.2"
"B598;B598.1"
"B598;B598.2"
"B599;B599.1"
"B600;B600.1"
"B601;B601.1"
"B602;B602.1"
"B603;B603.1"
"B604;B604.1"
"B605;B605.1"
"B606;B606.1"
"B607;B607.1"
"B608;B608.1"
"B609;B609.1"
"B610;B610.1"
"B610;B610.2"
"B611;B611.1"
"B612;B612.1"
"B12188;B12188.2"
"B12188;B12188.1"
"B11496;B11496.2"
"B721;B721.1"
"B4486;B4486.1"
"B613;B613.1"
"B614;B614.1"
"B615;B615.1"
"B616;B616.1"
"B617;B617.1"
"B618;B618.1"
"B618;B618.3"
"B618;B618.2"
"B619;B619.1"
"B620;B620.1"
"B621;B621.1"
"B622;B622.1"
"B623;B623.1"
"B623;B623.2"
"B624;B624.1"
"B625;B625.1"
"B626;B626.1"
"B627;B627.1"
"B628;B628.1"
"B629;B629.1"
"B630;B630.1"
"B630;B630.4"
"B630;B630.3"
"B630;B630.2"
"B631;B631.1"
"B632;B632.1"
"B632;B632.2"
"B633;B633.1"
"B634;B634.1"
"B635;B635.1"
"B636;B636.1"
"B637;B637.1"
"B638;B638.1"
"B639;B639.1"
"B640;B640.1"
"B641;B641.1"
"B642;B642.1"
"B643;B643.1"
"B644;B644.1"
"B644;B644.2"
"B645;B645.1"
"B646;B646.1"
"B646;B646.2"
"B647;B647.1"
"B648;B648.1"
"B649;B649.1"
"B650;B650.1"
"B651;B651.1"
"B651;B651.3"
"B651;B651.2"
"B6897;B6897.1"
"B5536;B5536.1"
"B5536;B5536.2"
"B652;B652.1"
"B652;B652.2"
"B652;B652.3"
"B6456;B6456.1"
"B653;B653.1"
"B654;B654.1"
"B655;B655.1"
"B656;B656.1"
"B656;B656.3"
"B656;B656.2"
"B656;B656.4"
"B2368;B2368.1"
"B657;B657.1"
"B658;B658.1"
"B659;B659.1"
"B659;B659.2"
"B660;B660.1"
"B660;B660.2"
"B661;B661.1"
"B662;B662.1"
"B662;B662.2"
"B662;B662.9"
"B662;B662.7"
"B662;B662.6"
"B662;B662.5"
"B662;B662.4"
"B662;B662.8"
"B662;B662.3"
"B663;B663.1"
"B664;B664.1"
"B665;B665.1"
"B666;B666.1"
"B666;B666.2"
"B6238;B6238.1"
"B667;B667.1"
"B668;B668.1"
"B668;B668.12"
"B668;B668.4"
"B668;B668.13"
"B668;B668.11"
"B668;B668.6"
"B668;B668.2"
"B668;B668.8"
"B668;B668.5"
"B668;B668.10"
"B668;B668.3"
"B668;B668.9"
"B668;B668.7"
"B669;B669.1"
"B670;B670.1"
"B7261;B7261.4"
"B671;B671.1"
"B671;B671.2"
"B672;B672.1"
"B673;B673.1"
"B674;B674.1"
"B675;B675.1"
"B676;B676.1"
"B677;B677.1"
"B677;B677.2"
"B678;B678.1"
"B678;B678.2"
"B679;B679.1"
"B679;B679.2"
"B680;B680.1"
"B681;B681.1"
"B682;B682.1"
"B683;B683.1"
"B683;B683.2"
"B684;B684.1"
"B685;B685.1"
"B686;B686.1"
"B687;B687.1"
"B688;B688.1"
"B689;B689.1"
"B689;B689.2"
"B690;B690.1"
"B691;B691.1"
"B692;B692.1"
"B693;B693.1"
"B694;B694.1"
"B694;B694.2"
"B695;B695.1"
"B695;B695.2"
"B696;B696.1"
"B696;B696.2"
"B697;B697.1"
"B698;B698.1"
"B699;B699.1"
"B699;B699.2"
"B700;B700.1"
"B11399;B11399.2"
"B11399;B11399.1"
"B701;B701.1"
"B702;B702.1"
"B703;B703.1"
"B704;B704.1"
"B705;B705.1"
"B706;B706.1"
"B706;B706.2"
"B707;B707.1"
"B707;B707.2"
"B708;B708.1"
"B709;B709.1"
"B709;B709.2"
"B710;B710.1"
"B711;B711.1"
"B713;B713.1"
"B714;B714.1"
"B715;B715.1"
"B716;B716.1"
"B8594;B8594.1"
"B717;B717.1"
"B718;B718.1"
"B719;B719.1"
"B720;B720.1"
"B721;B721.3"
"B721;B721.2"
"B721;B721.4"
"B9009;B9009.1"
"B5574;B5574.2"
"B7009;B7009.2"
"B7009;B7009.1"
"B722;B722.1"
"B722;B722.2"
"B723;B723.1"
"B724;B724.1"
"B724;B724.2"
"B725;B725.1"
"B726;B726.1"
"B727;B727.1"
"B728;B728.1"
"B728;B728.4"
"B728;B728.2"
"B728;B728.3"
"B729;B729.1"
"B730;B730.1"
"B731;B731.1"
"B732;B732.1"
"B733;B733.1"
"B733;B733.2"
"B734;B734.1"
"B735;B735.1"
"B736;B736.1"
"B737;B737.1"
"B738;B738.1"
"B738;B738.2"
"B739;B739.2"
"B739;B739.1"
"B740;B740.1"
"B741;B741.1"
"B741;B741.2"
"B742;B742.1"
"B743;B743.1"
"B744;B744.1"
"B745;B745.1"
"B746;B746.1"
"B746;B746.2"
"B747;B747.1"
"B748;B748.1"
"B749;B749.1"
"B749;B749.4"
"B749;B749.2"
"B749;B749.5"
"B749;B749.7"
"B749;B749.6"
"B749;B749.3"
"B750;B750.1"
"B751;B751.1"
"B752;B752.1"
"B753;B753.1"
"B754;B754.1"
"B755;B755.1"
"B756;B756.1"
"B757;B757.1"
"B8152;B8152.1"
"B757;B757.2"
"B12749;B12749.1"
"B8068;B8068.1"
"B758;B758.1"
"B758;B758.2"
"B759;B759.1"
"B760;B760.1"
"B761;B761.1"
"B761;B761.3"
"B761;B761.2"
"B12741;B12741.1"
"B762;B762.1"
"B763;B763.1"
"B764;B764.1"
"B765;B765.1"
"B766;B766.1"
"B767;B767.1"
"B768;B768.1"
"B769;B769.1"
"B770;B770.1"
"B771;B771.1"
"B772;B772.1"
"B773;B773.1"
"B774;B774.1"
"B775;B775.1"
"B776;B776.1"
"B777;B777.3"
"B777;B777.2"
"B777;B777.1"
"B778;B778.1"
"B779;B779.1"
"B780;B780.1"
"B781;B781.1"
"B782;B782.1"
"B783;B783.1"
"B784;B784.1"
"B784;B784.2"
"B785;B785.1"
"B786;B786.1"
"B786;B786.2"
"B787;B787.1"
"B788;B788.1"
"B788;B788.4"
"B788;B788.3"
"B788;B788.2"
"B789;B789.1"
"B789;B789.2"
"B790;B790.1"
"B790;B790.2"
"B791;B791.1"
"B792;B792.1"
"B793;B793.1"
"B794;B794.1"
"B795;B795.1"
"B796;B796.1"
"B797;B797.1"
"B798;B798.1"
"B799;B799.1"
"B799;B799.2"
"B800;B800.1"
"B801;B801.1"
"B802;B802.1"
"B803;B803.1"
"B803;B803.3"
"B803;B803.2"
"B804;B804.1"
